Timestamp,Data_Row
2025-12-21 01:05:51,RVR RWY29RMID  :1600 M
2025-12-21 01:05:51,RVR RWY11L     :1800 M
2025-12-21 01:05:51,RVR RWY29L     :1500 M
2025-12-21 01:05:51,RVR RWY29LMID  :1500 M
2025-12-21 01:05:51,RVR RWY11R     :1700 M
2025-12-21 01:05:51,CURRENT WEATHER :MIFG
2025-12-21 01:05:51,TREND FOR NEXT 2 HOURS:
2025-12-21 01:05:51,NOSIG=
2025-12-21 03:23:12,DELHI AIRPORT
2025-12-21 03:23:12,TEMPRATURE:  12°C
2025-12-21 03:23:12,CURRENT VISIBILITY
2025-12-21 03:23:12,AT I.G.I. AIRPORT
2025-12-21 03:23:12,DATE TIME(DDHHMM) : 210300UTC
2025-12-21 03:23:12,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 03:23:12,GEN. VIS.      :0400 M
2025-12-21 03:23:12,RVR RWY28      :1300 M
2025-12-21 03:23:12,RVR RWY28MID   :1000 M
2025-12-21 03:23:12,RVR RWY10      :1400 M
2025-12-21 03:23:12,RVR RWY27      :1300 M
2025-12-21 03:23:12,RVR RWY29R     :1400 M
2025-12-21 03:23:12,RVR RWY29RMID  :1400 M
2025-12-21 03:23:12,RVR RWY11L     :1500 M
2025-12-21 03:23:12,RVR RWY29L     :1500 M
2025-12-21 03:23:12,RVR RWY29LMID  :1400 M
2025-12-21 03:23:12,RVR RWY11R     :1500 M
2025-12-21 03:23:12,CURRENT WEATHER :FG
2025-12-21 03:23:12,TREND FOR NEXT 2 HOURS:
2025-12-21 03:23:12,TEMPO VIS 0350M IN FG=
2025-12-21 04:31:00,DELHI AIRPORT
2025-12-21 04:31:00,TEMPRATURE:  12°C
2025-12-21 04:31:00,CURRENT VISIBILITY
2025-12-21 04:31:00,AT I.G.I. AIRPORT
2025-12-21 04:31:00,DATE TIME(DDHHMM) : 210430UTC
2025-12-21 04:31:00,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 04:31:00,GEN. VIS.      :0500 M
2025-12-21 04:31:00,RVR RWY28      :1600 M
2025-12-21 04:31:00,RVR RWY28MID   :1400 M
2025-12-21 04:31:00,RVR RWY10      :1500 M
2025-12-21 04:31:00,RVR RWY27      :1600 M
2025-12-21 04:31:00,RVR RWY29R     :1300 M
2025-12-21 04:31:00,RVR RWY29RMID  :1600 M
2025-12-21 04:31:00,RVR RWY11L     :1600 M
2025-12-21 04:31:00,RVR RWY29L     :1500 M
2025-12-21 04:31:00,RVR RWY29LMID  :1400 M
2025-12-21 04:31:00,RVR RWY11R     :1600 M
2025-12-21 04:31:00,CURRENT WEATHER :MIFG
2025-12-21 04:31:00,TREND FOR NEXT 2 HOURS:
2025-12-21 04:31:00,NOSIG=
2025-12-21 05:14:01,DELHI AIRPORT
2025-12-21 05:14:01,TEMPRATURE:  13°C
2025-12-21 05:14:01,CURRENT VISIBILITY
2025-12-21 05:14:01,AT I.G.I. AIRPORT
2025-12-21 05:14:01,DATE TIME(DDHHMM) : 210500UTC
2025-12-21 05:14:01,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 05:14:01,GEN. VIS.      :0500 M
2025-12-21 05:14:01,RVR RWY28      :1600 M
2025-12-21 05:14:01,RVR RWY28MID   :1400 M
2025-12-21 05:14:01,RVR RWY10      :1600 M
2025-12-21 05:14:01,RVR RWY27      :1600 M
2025-12-21 05:14:01,RVR RWY29R     :1800 M
2025-12-21 05:14:01,RVR RWY29RMID  :1600 M
2025-12-21 05:14:01,RVR RWY11L     :1600 M
2025-12-21 05:14:01,RVR RWY29L     :1500 M
2025-12-21 05:14:01,RVR RWY29LMID  :1500 M
2025-12-21 05:14:01,RVR RWY11R     :1600 M
2025-12-21 05:14:01,CURRENT WEATHER :MIFG
2025-12-21 05:14:01,TREND FOR NEXT 2 HOURS:
2025-12-21 05:14:01,BECMG VIS 0600M IN MIFG=
2025-12-21 06:19:23,DELHI AIRPORT
2025-12-21 06:19:23,TEMPRATURE:  13°C
2025-12-21 06:19:23,CURRENT VISIBILITY
2025-12-21 06:19:23,AT I.G.I. AIRPORT
2025-12-21 06:19:23,DATE TIME(DDHHMM) : 210600UTC
2025-12-21 06:19:23,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 06:19:23,GEN. VIS.      :0700 M
2025-12-21 06:19:23,RVR RWY28      :1800 M
2025-12-21 06:19:23,RVR RWY28MID   :1500 M
2025-12-21 06:19:23,RVR RWY10      :1600 M
2025-12-21 06:19:23,RVR RWY27      :1800 M
2025-12-21 06:19:23,RVR RWY29R     :1900 M
2025-12-21 06:19:23,RVR RWY29RMID  :1700 M
2025-12-21 06:19:23,RVR RWY11L     :1900 M
2025-12-21 06:19:23,RVR RWY29L     :1600 M
2025-12-21 06:19:23,RVR RWY29LMID  :1600 M
2025-12-21 06:19:23,RVR RWY11R     :1800 M
2025-12-21 06:19:23,CURRENT WEATHER :MIFG
2025-12-21 06:19:23,TREND FOR NEXT 2 HOURS:
2025-12-21 06:19:23,BECMG VIS 0800M IN MIFG=
2025-12-21 07:13:13,DELHI AIRPORT
2025-12-21 07:13:13,TEMPRATURE:  15°C
2025-12-21 07:13:13,CURRENT VISIBILITY
2025-12-21 07:13:13,AT I.G.I. AIRPORT
2025-12-21 07:13:13,DATE TIME(DDHHMM) : 210700UTC
2025-12-21 07:13:13,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 07:13:13,GEN. VIS.      :1000 M
2025-12-21 07:13:13,RVR RWY28      :1700 M
2025-12-21 07:13:13,RVR RWY28MID   :1400 M
2025-12-21 07:13:13,RVR RWY10      :1700 M
2025-12-21 07:13:13,RVR RWY27      :1900 M
2025-12-21 07:13:13,RVR RWY29R     :2000 M
2025-12-21 07:13:13,RVR RWY29RMID  :1800 M
2025-12-21 07:13:13,RVR RWY11L     :1700 M
2025-12-21 07:13:13,RVR RWY29L     :1600 M
2025-12-21 07:13:13,RVR RWY29LMID  :1600 M
2025-12-21 07:13:13,RVR RWY11R     :1800 M
2025-12-21 07:13:13,CURRENT WEATHER :BR
2025-12-21 07:13:13,TREND FOR NEXT 2 HOURS:
2025-12-21 07:13:13,NOSIG=
2025-12-21 08:16:23,DELHI AIRPORT
2025-12-21 08:16:23,TEMPRATURE:  16°C
2025-12-21 08:16:23,CURRENT VISIBILITY
2025-12-21 08:16:23,AT I.G.I. AIRPORT
2025-12-21 08:16:23,DATE TIME(DDHHMM) : 210800UTC
2025-12-21 08:16:23,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 08:16:23,GEN. VIS.      :1100 M
2025-12-21 08:16:23,RVR RWY28      :1800 M
2025-12-21 08:16:23,RVR RWY28MID   :1500 M
